name,lat,lon
Flensburg,54.7833,9.4398
Sönderborg,54.91,9.7867
Svendborg,55.0583,10.6183
Faaborg,55.0933,10.24
Åbenrå (Aabenraa),55.03666667,9.423333333
Årø (Aarø),55.26166667,9.731666667
Årøsund,55.26333333,9.713333333
Ærø,54.94333333,10.26
Assens,55.27166667,9.886666667
Augustenborg,54.945,9.871666667
Avernakø,55.04,10.25166667
Bågø (Baagø),55.29833333,9.806666667
"Ballen (Fyn), Rantzausminde",55.04166667,10.47333333
Birkholm (Ærø),54.92833333,10.5
Brandsø,55.35,9.713333333
"Bregnør, Boels Bro",55.48666667,10.59833333
Drejø,54.965,10.43833333
"Dyreborg, Bjørnø Bro",55.07166667,10.21833333
"Dyvig, Mjels Vig",55.04333333,9.706666667
"Egernsund, Marina Toft, Gråsten, Fisknæs",54.90833333,9.601666667
"Fænø, Gamborg Fjord",55.46333333,9.765
Faldsled,55.15333333,10.145
"Fjællebroen, Store Svelmø",55.06,10.38166667
Fynshav,54.99333333,9.988333333
"Genner Bugt, Kalvø, Sønderballe",55.12166667,9.466666667
Haderslev Fjord,55.25666667,9.583333333
Haderslev,55.24833333,9.501666667
Hejlsminde,55.36166667,9.601666667
"Helnæs Bugt, Bo Banker, Agernæs",55.14333333,10.05333333
Hjortø,54.96666667,10.49166667
"Høruphav, Gåsevig",54.90666667,9.89
Kerteminde,55.45166667,10.66833333
Kolding,55.49333333,9.503333333
"Korshavn Lystbådebro, Enebærodde",55.605,10.61
Langeland,54.93333333,10.83333333
"Lundeborg, Elsehoved",55.13833333,10.78666667
Lyø,55.05166667,10.16
"Marina Minde, Okseøer",54.89833333,9.618333333
Middelfart,55.49166667,9.728333333
Mommark Camping og Marina,54.93333333,10.04666667
Nyborg Marina,55.30666667,10.79166667
Odense,55.41,10.37833333
Otterup,55.52833333,10.475
"Sandvig, Stevning Nor",54.99333333,9.78
Skærbæk,55.51333333,9.628333333
Skarø,55.01166667,10.475
"Stige Ø, Stige By",55.44,10.42333333
Strynø,54.90166667,10.63
"Thurø Bund, Gambøt Lystbådehavn",55.04,10.68666667
Torø Red,55.25333333,9.883333333
Troense,55.035,10.64666667
"Varnæs Vig Bro, Ålbæk Bugt",55.035,9.57
"Vemmingbund, Skelde Vig, Nybøl",54.89166667,9.716666667
Vindeby,55.05,10.615
Marstal,54.8558332,10.5174056
