name,lat,lon
Gåbense Lystbådehavn,54.9432953,11.8808591
Gedser lystbådehavn,54.5805984,11.9238642
Guldborg Sund,54.7909399,11.8259447
Hårbølle,54.8964287,12.174156
Hesnæs Havn,54.823132,12.1382114
Kalundborg Vesthavn,55.6776144,11.0821987
Kalvehave,54.9977367,12.1631205
Karrebæksminde,55.1780155,11.6468481
Klintholm,54.9787833,12.5033703
Korsør,55.3266045,11.1425876
Kragenæs Marina Lystcamp,54.9140692,11.356878
Masnedsund,55.0020593,11.8916292
Møns Klint,54.981039,12.5427421
Mullerup,55.1700672,10.6326241
Musholm,55.4780804,11.0773734
Næstved,55.2328252,11.7674102
Nakskov,54.8304979,11.1493517
Nykøbing (Falster),54.7646137,11.8709918
Nyord,55.047237,12.2064965
Nysted,54.6627868,11.7330766
Omø (Kirkehavn),55.1644651,11.1628763
Onsevig,54.9470348,11.1170961
Præstø Fjord,55.1487407,12.0469642
Præstø,55.1178943,12.0538374
Reersø,55.5240151,11.1103965
Sakskøbing,54.798788,11.6341381
Skælskør,55.2521101,11.2942011
Stege,54.9863794,12.2861344
Stubbekøbing,54.888364,12.0381564
Tårs,54.8831014,11.0271943
Tærø,54.9542756,12.083103
Vejrø,55.0314577,11.355875
Vordingborg Nordhavn,55.003256,11.918184
